Matrix,Row_Type,True_Label,Predicted_Label,Count,Precision,Recall,F1,Accuracy
Identity,CELL,FRIENDLY,FRIENDLY,0,,,,
Identity,CELL,FRIENDLY,FOE,0,,,,
Identity,CELL,FRIENDLY,UNKNOWN,0,,,,
Identity,CELL,FOE,FRIENDLY,0,,,,
Identity,CELL,FOE,FOE,0,,,,
Identity,CELL,FOE,UNKNOWN,0,,,,
Identity,CELL,UNKNOWN,FRIENDLY,0,,,,
Identity,CELL,UNKNOWN,FOE,0,,,,
Identity,CELL,UNKNOWN,UNKNOWN,27066,,,,
Identity,METRIC,FRIENDLY,,,0.0,0.0,0.0,
Identity,METRIC,FOE,,,0.0,0.0,0.0,
Identity,METRIC,UNKNOWN,,,1.0,1.0,1.0,
Identity,METRIC,OVERALL,,,,,,1.0
Authentication,CELL,AUTHENTICATED,AUTHENTICATED,0,,,,
Authentication,CELL,AUTHENTICATED,FAILED,0,,,,
Authentication,CELL,FAILED,AUTHENTICATED,0,,,,
Authentication,CELL,FAILED,FAILED,0,,,,
Authentication,METRIC,AUTHENTICATED,,,0.0,0.0,0.0,
Authentication,METRIC,FAILED,,,0.0,0.0,0.0,
Authentication,METRIC,OVERALL,,,,,,0.0
